Erin,Little,Ouellette,Femenino,2020033868,elittle3868@estudiantec.cr,"(22.9, 33.0, 39.8, 95.7, 95.7)"
Agnes,Rose,Parish,Masculino,2020069820,arose9820@estudiantec.cr,"(21.4, 28.6, 38.6, 88.6, 88.6)"
Frank,Armstead,Walkingstick,Femenino,2020042175,farmstead2175@estudiantec.cr,"(19.1, 31.5, 38.4, 89.0, 89.0)"
Grace,Espinosa,Crane,Femenino,2020053410,gespinosa3410@estudiantec.cr,"(21.1, 33.1, 33.0, 87.2, 87.2)"
Michael,Parks,Thomas,Femenino,2020065921,mparks5921@estudiantec.cr,"(22.5, 25.0, 34.3, 81.8, 81.8)"
Aja,Bright,Kirch,Femenino,2020046020,abright6020@estudiantec.cr,"(24.7, 30.2, 28.2, 83.1, 83.1)"
Otis,Padilla,Doe,Masculino,2020014917,opadilla4917@estudiantec.cr,"(21.3, 34.9, 32.9, 89.1, 89.1)"
Carla,Martin,Brooke,Femenino,2020025808,cmartin5808@estudiantec.cr,"(24.2, 29.0, 32.1, 85.3, 85.3)"
Silva,Scanlan,Klima,Masculino,2020069234,sscanlan9234@estudiantec.cr,"(21.0, 27.5, 28.8, 77.3, 77.3)"
Sara,Barrett,Smith,Masculino,2020036151,sbarrett6151@estudiantec.cr,"(24.4, 25.5, 32.7, 82.6, 82.6)"
Javier,Appleton,Ortiz,Femenino,2020026347,jappleton6347@estudiantec.cr,"(18.2, 26.4, 32.7, 77.3, 77.3)"
Sharon,Martin,Ginn,Femenino,2020061921,smartin1921@estudiantec.cr,"(19.2, 29.5, 39.4, 88.1, 88.1)"
Antonio,Fernandez,Williams,Femenino,2020016728,afernandez6728@estudiantec.cr,"(19.8, 26.9, 38.5, 85.2, 85.2)"
Ryan,Wilson,Catrone,Femenino,2020011525,rwilson1525@estudiantec.cr,"(18.5, 29.7, 37.1, 85.3, 85.3)"
Howard,Taylor,Dunn,Masculino,2020052252,htaylor2252@estudiantec.cr,"(24.7, 33.2, 28.2, 86.1, 86.1)"
Peter,Ocampo,Messano,Femenino,2020055252,pocampo5252@estudiantec.cr,"(17.9, 25.3, 36.1, 79.3, 79.3)"
